Event Name,Date,Location,URL
UFC 324: Gaethje vs. Pimblett,"January 24, 2026","Las Vegas, Nevada, USA",http://ufcstats.com/event-details/00e11b5c8b7bfeeb
UFC Fight Night: Royval vs. Kape,"December 13, 2025","Las Vegas, Nevada, USA",http://ufcstats.com/event-details/bc0f994de0521926
UFC 323: Dvalishvili vs. Yan 2,"December 06, 2025","Las Vegas, Nevada, USA",http://ufcstats.com/event-details/bd92cf5da5413d2a
UFC Fight Night: Tsarukyan vs. Hooker,"November 22, 2025","Doha, Qatar",http://ufcstats.com/event-details/92c96df8bdab5fea
UFC 322: Della Maddalena vs. Makhachev,"November 15, 2025","New York City, New York, USA",http://ufcstats.com/event-details/8db1b36dde268ef6
UFC Fight Night: Bonfim vs. Brown,"November 08, 2025","Las Vegas, Nevada, USA",http://ufcstats.com/event-details/6436029b50a9c255
UFC Fight Night: Garcia vs. Onama,"November 01, 2025","Las Vegas, Nevada, USA",http://ufcstats.com/event-details/0e2c2daf11b5d8f2
UFC 321: Aspinall vs. Gane,"October 25, 2025","Abu Dhabi, Abu Dhabi, United Arab Emirates",http://ufcstats.com/event-details/7956f026e2672c47
UFC Fight Night: De Ridder vs. Allen,"October 18, 2025","Vancouver, British Columbia, Canada",http://ufcstats.com/event-details/38e5d9dcb0fddc42
UFC Fight Night: Oliveira vs. Gamrot,"October 11, 2025","Rio de Janeiro, Rio de Janeiro, Brazil",http://ufcstats.com/event-details/9336e86cfd4ceaa1
UFC 320: Ankalaev vs. Pereira 2,"October 04, 2025","Las Vegas, Nevada, USA",http://ufcstats.com/event-details/8944a0f9b2f0ce6d
UFC Fight Night: Ulberg vs. Reyes,"September 27, 2025","Perth, Western Australia, Australia",http://ufcstats.com/event-details/ed220e87bef0cc64
UFC Fight Night: Lopes vs. Silva,"September 13, 2025","San Antonio, Texas, USA",http://ufcstats.com/event-details/5efaaf313b652dd7
UFC Fight Night: Imavov vs. Borralho,"September 06, 2025","Paris, Ile-de-France, France",http://ufcstats.com/event-details/6e380a4d73ab4f0e
UFC Fight Night: Walker vs. Zhang,"August 23, 2025","Shanghai, Hebei, China",http://ufcstats.com/event-details/754968e325d6f60d
UFC 319: Du Plessis vs. Chimaev,"August 16, 2025","Chicago, Illinois, USA",http://ufcstats.com/event-details/421ccfc6ddb17958
UFC Fight Night: Dolidze vs. Hernandez,"August 09, 2025","Las Vegas, Nevada, USA",http://ufcstats.com/event-details/6cd3dfc54f01287f
UFC Fight Night: Taira vs. Park,"August 02, 2025","Las Vegas, Nevada, USA",http://ufcstats.com/event-details/f2c934689243fe4e
UFC Fight Night: Whittaker vs. De Ridder,"July 26, 2025","Abu Dhabi, Abu Dhabi, United Arab Emirates",http://ufcstats.com/event-details/28d8638ea0a71908
UFC 318: Holloway vs. Poirier 3,"July 19, 2025","New Orleans, Louisiana, USA",http://ufcstats.com/event-details/b8e2f10efb6eca85
UFC Fight Night: Lewis vs. Teixeira,"July 12, 2025","Nashville, Tennessee, USA",http://ufcstats.com/event-details/7b03d9df5910917d
UFC 317: Topuria vs. Oliveira,"June 28, 2025","Las Vegas, Nevada, USA",http://ufcstats.com/event-details/66766984842c13dc
UFC Fight Night: Hill vs. Rountree Jr.,"June 21, 2025","Baku, Azerbaijan",http://ufcstats.com/event-details/400c7b43c86d27d3
UFC Fight Night: Usman vs. Buckley,"June 14, 2025","Atlanta, Georgia, USA",http://ufcstats.com/event-details/de277a4abcfeea46
UFC 316: Dvalishvili vs. O'Malley 2,"June 07, 2025","Newark, New Jersey, USA",http://ufcstats.com/event-details/18c49685296c60e6
