URL,Name,Height,Weight,Reach,Stance,DOB
http://ufcstats.com/fighter-details/1c23ec2f1b71be40,Iwo Baraniewski,"6' 0""",205 lbs.,"73""",Orthodox,"Nov 20, 1998"
http://ufcstats.com/fighter-details/ab2a4b5e04dc5fe9,Alvin Hines,"6' 2""",265 lbs.,"74""",Orthodox,"Oct 20, 1991"
http://ufcstats.com/fighter-details/05339613bf8e9808,Rob Font,"5' 8""",135 lbs.,"71""",Orthodox,"Jun 25, 1987"
http://ufcstats.com/fighter-details/41e83a89929d1327,Jailton Almeida,"6' 3""",237 lbs.,"79""",Orthodox,"Jun 26, 1991"
http://ufcstats.com/fighter-details/351c4ec637380ad5,Karol Rosa,"5' 5""",135 lbs.,"67""",Orthodox,"Dec 30, 1994"
http://ufcstats.com/fighter-details/d802174b0c0c1f4e,Magomed Ankalaev,"6' 3""",205 lbs.,"75""",Orthodox,"Jun 02, 1992"
http://ufcstats.com/fighter-details/523fa774700d7d3f,Court McGee,"5' 11""",170 lbs.,"75""",Orthodox,"Dec 12, 1984"
http://ufcstats.com/fighter-details/81d2c551886bd5a1,Alice Pereira,"5' 8""",135 lbs.,"71""",Orthodox,"Dec 20, 2005"
http://ufcstats.com/fighter-details/853eb0dd5c0e2149,Kai Kara-France,"5' 4""",125 lbs.,"69""",Orthodox,"Mar 26, 1993"
http://ufcstats.com/fighter-details/06626b6287e1ae1e,Chris Padilla,"5' 9""",155 lbs.,"74""",Orthodox,"Sep 14, 1995"
http://ufcstats.com/fighter-details/0c25d0a5e8cdbf19,Lukasz Brzeski,"6' 3""",236 lbs.,"78""",Orthodox,"May 17, 1992"
http://ufcstats.com/fighter-details/d8c811df0386d5e8,Rinya Nakamura,"5' 7""",135 lbs.,"68""",Southpaw,"Mar 23, 1995"
http://ufcstats.com/fighter-details/22e07d3da1aa3475,Andrey Pulyaev,"6' 4""",185 lbs.,"78""",Southpaw,"Sep 10, 1997"
http://ufcstats.com/fighter-details/8adcbd525fab8d9b,Elizeu Zaleski dos Santos,"5' 11""",170 lbs.,"73""",Orthodox,"Dec 11, 1986"
